TOTAL_TRAIN_0,CORRECT_TRAIN_0,TOTAL_TEST_0,CORRECT_TEST_0,TOTAL_TRAIN_1,CORRECT_TRAIN_1,TOTAL_TEST_1,CORRECT_TEST_1,TOTAL_TRAIN_2,CORRECT_TRAIN_2,TOTAL_TEST_2,CORRECT_TEST_2,TOTAL_TRAIN_3,CORRECT_TRAIN_3,TOTAL_TEST_3,CORECT_TEST_3,TOTAL_TRAIN_4,CORRECT_TRAIN_4,TOTAL_TEST_4,CORRECT_TEST_4,TOTAL_TRAIN_5,CORRECT_TRAIN_5,TOTAL_TEST_5,CORRECT_TEST_5,TOTAL_TRAIN_6,CORRECT_TRAIN_6,TOTAL_TEST_6,CORRECT_TEST_6,TOTAL_TRAIN_7,CORRECT_TRAIN_7,TOTAL_TEST_7,CORRECT_TEST_7,TOTAL_TRAIN_8,CORRECT_TRAIN_8,TOTAL_TEST_8,CORRECT_TEST_8,TOTAL_TRAIN_9,CORRECT_TRAIN_9,TOTAL_TEST_9,CORRECT_TEST_9
5923,5882,980,977,6742,6714,1135,1135,5958,4583,1032,814,6131,1001,1010,1001,5842,5804,982,980,5421,4703,892,773,5918,5844,958,934,6265,6110,1028,1005,5851,575,974,119,5949,4669,1009,828
5923,5871,980,975,6742,6711,1135,1132,5958,4392,1032,766,6131,996,1010,996,5842,5804,982,982,5421,4636,892,775,5918,5844,958,933,6265,6081,1028,1001,5851,699,974,118,5949,4546,1009,808
5923,5879,980,973,6742,6712,1135,1134,5958,4630,1032,817,6131,997,1010,997,5842,5809,982,982,5421,4904,892,813,5918,5847,958,939,6265,6141,1028,1005,5851,594,974,108,5949,4587,1009,807
5923,5873,980,973,6742,6703,1135,1131,5958,4326,1032,777,6131,996,1010,996,5842,5810,982,979,5421,4553,892,761,5918,5841,958,936,6265,5990,1028,975,5851,687,974,108,5949,4631,1009,820
5923,5868,980,975,6742,6706,1135,1130,5958,196,1032,38,6131,999,1010,999,5842,5791,982,978,5421,4410,892,726,5918,5827,958,936,6265,5999,1028,969,5851,385,974,59,5949,4856,1009,832
5923,5880,980,976,6742,6714,1135,1133,5958,3,1032,1,6131,996,1010,996,5842,5802,982,976,5421,3864,892,640,5918,5840,958,934,6265,6096,1028,996,5851,1036,974,167,5949,4561,1009,827
5923,5882,980,975,6742,6715,1135,1132,5958,3325,1032,593,6131,996,1010,996,5842,5802,982,980,5421,4131,892,672,5918,5819,958,932,6265,6093,1028,995,5851,1441,974,238,5949,4675,1009,822
5923,5890,980,976,6742,6716,1135,1132,5958,0,1032,0,6131,993,1010,993,5842,5801,982,979,5421,3669,892,597,5918,5821,958,936,6265,6006,1028,986,5851,66,974,17,5949,4344,1009,742
