OVERALL_TRAIN_ACCURACY,OVERALL_TEST_ACCURACY,TRAIN_ACC_0,TEST_ACC_0,TRAIN_ACC_1,TEST_ACC_1,TRAIN_ACC_2,TEST_ACC_2,TRAIN_ACC_3,TEST_ACC_3,TRAIN_ACC_4,TEST_ACC_4,TRAIN_ACC_5,TEST_ACC_5,TRAIN_ACC_6,TEST_ACC_6,TRAIN_ACC_7,TEST_ACC_7,TRAIN_ACC_8,TEST_ACCURACY_8,TRAIN_ACCURACY_9,TEST_ACCURACY_9
92.99666595458984,93.11000061035156,98.12594968765828,98.16326530612245,97.53782260456838,98.14977973568281,85.22994293387043,86.9186046511628,97.7491436959713,97.92079207920793,91.04758644299898,90.52953156822811,98.74561888950379,98.87892376681614,86.3974315647178,85.07306889352819,89.65682362330406,88.715953307393,88.00205093146471,88.91170431211499,97.29366280047067,97.62140733399406
92.25666809082031,92.55000305175781,98.68309978051663,98.9795918367347,96.84070008899437,97.62114537444934,85.02853306478684,84.88372093023256,97.53710650791062,98.41584158415841,87.17904827114002,88.4928716904277,98.63493820328353,98.4304932735426,86.16086515714768,85.28183716075156,88.15642458100558,88.715953307393,86.95949410357204,87.47433264887064,97.22642460917801,97.02675916749257
92.65833282470703,92.56999969482422,98.78439979739997,99.38775510204081,95.99525363393651,96.65198237885463,79.05337361530715,79.55426356589147,97.61865927254934,97.62376237623762,93.03320780554604,93.9918533604888,98.8009592326139,98.87892376681614,86.71848597499155,84.13361169102296,90.29529130087789,90.1750972762646,89.40352076568108,88.70636550308008,96.92385274836107,96.82854311199208
92.75499725341797,92.7300033569336,99.18959986493331,99.48979591836735,96.51438742212993,96.65198237885463,70.57737495803961,72.86821705426357,97.73283314304355,98.41584158415841,92.93050325231086,92.87169042769857,99.02232060505442,99.10313901345292,91.29773572152754,88.83089770354906,91.85953711093376,90.85603112840467,90.65117074004444,91.27310061601642,97.74752059169609,97.62140733399406
92.87000274658203,92.98999786376953,98.73374978895829,98.6734693877551,96.85553248294275,97.18061674008811,83.31654917757636,84.39922480620154,98.09166530745392,98.41584158415841,90.89352961314619,90.93686354378819,98.72717210846707,98.76681614349776,84.60628590740114,82.6722338204593,91.73184357541899,92.31517509727627,88.66860365749444,89.01437371663245,96.85661455706841,97.32408325074331
93.02333068847656,93.04000091552734,98.68309978051663,99.08163265306122,96.97419163452982,97.3568281938326,81.82275931520644,82.07364341085271,98.25477083673137,98.31683168316832,90.07189318726464,90.020366598778,98.65338498432024,98.87892376681614,93.49442379182156,92.37995824634656,84.82043096568236,85.40856031128405,90.00170910955393,90.24640657084188,97.6466633047571,97.12586719524282
92.3133316040039,92.20999908447266,98.90258315043053,98.87755102040816,97.31533669534262,97.88546255506608,77.8113460892917,77.03488372093024,97.76545424889903,98.31683168316832,88.10338925025677,89.10386965376782,99.0038738240177,99.10313901345292,86.38053396417709,82.98538622129436,91.5243415802075,91.63424124513618,88.48060160656298,89.52772073921972,97.52899646999495,97.62140733399406
85.41166687011719,85.1500015258789,98.85193314198885,98.77551020408163,97.13734796796203,97.62114537444934,0.0,0.0,98.02642309574294,98.41584158415841,91.92057514549812,91.85336048879837,98.67183176535694,98.09417040358744,89.6586684690774,88.51774530271399,91.57222665602553,92.21789883268482,89.24970090582806,90.86242299794661,98.31904521768364,97.81962338949455
